Date,Item Total,Baked Goods qty,Alcohol qty,Grocery qty,Produce qty,Meat qty,Service deli qty,Dairy-Deli (frz/refrig) qty,Gen Merch qty,Seafood qty,Misc qty,Coupon qty,Misc cost,Alcohol Cost,Baked Goods cost,Seafood cost,Meat cost,Grocery cost,Produce cost,Service Deli cost,Dairy-Deli cost,Gen Merch cost,Coupon Cost,Cost (total),Taxes,Checkout Time,Cashier,Day of the Week,Total Savings,Terminal
7/4/2021,36,2,,8,12,4,,7,3,,,,,,5.48,,27.56,22.37,38.88,,36.15,8.57,,136.41,1.39,8:23:20 AM,Alejandra,Sunday,28.11,2
7/11/2021,33,,,16,7,6,,2,2,,,,,,,,30.7,40.46,16.99,,7.99,12.88,,110.31,1.32,8:35:14 AM,Theresa,Sunday,21.99,5
7/18/2021,37,,,13,11,4,,9,,,,,,,,,30.6,38.84,27.67,,29.87,,,127.39,0.41,8:29:07 AM,Theresa,Sunday,11.96,5
8/1/2021,32,,,11,7,7,,7,,,,,,,,,52.17,36.16,22.83,,25.45,,,137.02,0.41,8:48:35 AM,Theresa,Sunday,5.53,5
8/8/2021,34,1,,11,12,4,1,4,1,,,,,,2.19,,29.22,37.84,27.69,5.99,15.97,5.99,,130.71,1.53,8:41:50 AM,Theresa,Sunday,9.13,5
8/12/2021,10,2,,1,,,,4,,,3,,$7.25 ,,7.98,,,3.49,,,21.66,,,40.78,0.4,1:30:01 PM,Molly,Thursday,0,4
8/15/2021,35,,,10,6,9,,8,2,,,,,,,,71.7,24.38,18.47,,28.39,8.9,14.85,136.6,1.2,8:20:46 AM,Jacqui,Sunday,1.2,7
8/22/2021,38,,,17,8,7,,6,,,,,,,,,49.47,33.82,29.55,,16.67,,3.17,125.55,0.16,8:28:26 AM,Andrew,Sunday,10.05,2
8/29/2021,35,,,11,12,5,,7,,,,,,,,,43.92,30.95,16.51,,,,,117.79,0.51,8:27:16 AM,Dawn,Sunday,13.51,7
9/5/2021,37,1,,16,7,5,,8,,,,,,,2.49,,28.36,46.49,17.47,,22.97,,,117.51,0,8:40:53 AM,Dawn,Sunday,22.54,7
9/19/2021,37,1,,16,3,10,,7,,,,,,,2.99,,70.35,47.55,11.58,,26.05,,20.8,138.26,0.49,8:40:23 AM,Theresa,Sunday,33.92,7
9/30/2021,11,,,2,2,2,,3,,,2,,$8.04 ,,,,5.56,8.98,5.98,,21.97,,,50.53,0,2:01:00 PM,Kai,Thursday,0,6
10/10/2021,37,,,6,10,7,,10,3,,,,,,,,52.53,15.51,32.25,,30.55,19.43,,150.27,1.99,8:32:11 AM,Andrew,Sunday,16.49,7
10/17/2021,47,,,14,9,5,,11,4,,,,,,,,31.6,35.63,25.78,,46.19,19.56,,160.76,2,8:43:44 AM,Theresa,Sunday,10.08,7
10/31/2021,34,,,10,4,7,,13,,,,,,,,,61.08,26.06,11.79,,38,,10,126.93,0,8:49:06 AM,Theresa,Sunday,25.18,7
11/7/2021,37,,,18,6,6,,7,,,,,,,,,33.78,42.75,17.29,,14.52,,,108.34,0,8:18:19 AM,Andrew,Sunday,15.9,7
11/14/2021,1,,,,,1,,,,,,,,,,,12.99,,,,,,,12.99,0,5:34:00 PM,Paola,Sunday,0.5,
11/14/2021,29,,,6,5,6,,10,2,,,,,,,,51.18,14.28,19.35,,31.11,7.28,,124.45,0.75,8:24:33 AM,Theresa,Sunday,3.17,7
11/21/2021,35,,1,13,8,3,,9,,,,,,12.99,,,29.03,47.56,30.78,,32.88,,,148.67,1.66,8:36:54 AM,John,Sunday,23.66,7
11/23/2021,3,,,,,,1,2,,,,,,,,,,,,4.37,9.62,,,13.99,,8:01:00 PM,Adnan,Tuesday,0,5
11/28/2021,41,1,,14,10,5,,8,1,,,,,,2.49,,36.13,56.38,31.11,,19.77,12.99,,162.68,3.81,8:16:21 AM,Alejandra,Sunday,3.76,7
12/5/2021,35,,,13,6,6,1,7,2,,,,,,,,51.69,31.68,40.44,8.99,22.69,8.48,,144.84,0.87,9:32:55 PM,Jacqui,Sunday,8.16,7
12/12/2021,43,,,15,10,8,,10,,,,,,,,,48.17,42.8,32.84,,26.75,,,150.56,0,8:29:32 AM,Dawn,Sunday,22.67,7
12/15/2021,5,,,3,,,2,,,,,,,,,,,5.68,,8.89,,,,14.73,0.16,5:11:21 PM,Adnan,Wednesday,0,1
12/19/2021,49,1,,20,9,6,,13,,,,,,,2.49,,51.89,72.3,24.08,,40.41,,,189.71,0.54,8:36:23 AM,Dawn,Sunday,19.98,7
12/21/2021,5,1,,2,,,,,2,,,,,,4.99,,,3.1,,,,4.09,,12.18,0.41,9:14:57 AM,Fastlane 2,Tuesday,0.39,Self
12/26/2021,54,,,17,10,7,,13,5,,,,,,,,47.05,34.73,29.6,,41.63,20.91,,176.47,3.53,9:38:59 PM,Emma,Sunday,15.55,6
1/2/2022,31,1,,9,5,7,,9,,,,,,,2.99,,53.94,25.09,12.12,,25.41,,,119.55,0,8:13:47 AM,Theresa,Sunday,23.49,7
1/16/2022,30,,,8,6,3,,10,2,,,,,,,,31.23,18.01,16.33,,30.73,4.38,,99.32,0.45,8:07:03 AM,Dawn,Sunday,19.44,7
1/23/2022,32,1,,10,5,4,,10,2,,,,,,2.49,,25.65,26.85,11.17,,22.12,8.98,,88.08,0.82,8:34:42 AM,Dawn,Sunday,22.84,7
1/30/2022,40,1,,15,9,6,,8,1,,,,,,2.49,,54.16,44.45,24.99,,26.01,5.99,,158.7,0.61,8:09:51 AM,Dawn,Sunday,8.11,7
2/6/2022,39,1,,9,9,7,,9,3,,,,,,2.99,,54.46,21.62,26,,19.3,8.37,,134.03,1.3,8:43:03 PM,Jenn,Sunday,9.17,5
2/13/2022,36,,,14,10,8,,3,1,,,,,,,,52.3,59.07,25.65,,7.67,5.19,,150.41,0.53,8:08:25 AM,Ranjit,Sunday,27.28,7
2/27/2022,37,,,10,14,4,,9,,,,2,,,,,44.9,22.98,40.92,,27.86,,14.99,122.03,0.36,8:13:49 AM,Jean,Sunday,28.42,4
3/6/2022,39,,,16,7,7,,9,,,,,,,,,47.39,39.8,25.77,,41,,,153.96,0,8:10:45 AM,Andrew,Sunday,16.37,7
3/13/2022,35,1,,11,4,6,1,9,3,,,,,,2.49,,52.3,49.19,14.96,6.65,18.17,11.47,,156.41,1.18,8:17:51 AM,Annette,Sunday,17.01,5
3/20/2022,35,,,11,10,4,1,9,,,,,,,,,26.3,40.05,25.06,6.59,30.44,,,123.65,0,8:26:34 AM,Theresa,Sunday,23.39,7
3/27/2022,38,,,7,11,4,,16,,,,,,,,,45.98,20.74,33,,35.9,,6,129.66,0.34,8:23:19 AM,Olivia,Sunday,33.03,7
4/3/2022,28,1,,18,6,3,,,,,,,,,9.99,,38.55,47.8,13.39,,,,,109.92,0.19,8:47:10 AM,Olivia,Sunday,35.57,7
4/10/2022,30,,,14,6,5,,4,1,,,,,,,,38.52,50.68,19.85,,8.08,3.99,,122.16,1.04,8:22:22 AM,Annette,Sunday,5.92,7
4/17/2022,42,,,14,14,7,,7,,,,,,,,,54.62,31.83,26.26,,22.02,,,134.72,0,8:10:22 AM,Alejandra,Sunday,9.9,7
4/24/2022,45,1,,25,4,4,,11,,,,,,,1.89,,27.16,83.51,12.88,,43.6,,20,149.4,0.36,8:21:19 AM,Theresa,Sunday,11.52,7
5/1/2022,40,1,,6,13,5,,14,1,,,,,,2.49,,36.18,20.65,38.27,,50.5,5.19,,162.3,0.53,8:27:35 AM,Theresa,Sunday,11.48,7
5/8/2022,36,,,15,10,4,,3,4,,,,,,,,35.94,54.91,22.28,,12.39,16.96,,145.84,3.36,7:25:45 AM,Theresa,Sunday,22.77,7
5/15/2022,32,,,9,6,8,,9,,,,,,,,,54.13,23.85,19.96,,28.04,,,125.98,0,7:54:08 AM,Olivia,Sunday,18.13,7
5/22/2022,46,,,25,7,4,,8,2,,,,,,,,27.96,69.67,22.23,,17.38,8.18,,146.77,1.35,7:48:11 AM,Theresa,Sunday,21.69,7
5/29/2022,32,,,13,7,6,,4,2,,,,,,,,33.34,44.89,26.95,,17.86,5.98,,130,0.98,7:47:44 AM,Olivia,Sunday,11.77,7
6/5/2022,30,,,14,5,3,,8,,,,,,,,,36.6,66.56,21.53,,30.45,,,156.24,1.1,7:22:07 AM,Olivia,Sunday,9.88,7
6/12/2022,31,,,10,4,5,,11,1,,,1,,,,,15.16,30.61,14.66,,24.21,9.99,3,108.13,1.02,7:40:24 AM,Andrew,Sunday,21.82,7
6/19/2022,41,1,,17,8,6,1,8,,,,,,,2.49,,44.48,55.23,9.49,8.99,27.12,,1,146.8,0,8:03:16 AM,Jacqui,Sunday,18.4,7
6/26/2022,45,,,20,7,3,1,12,2,,,,,,,,38.37,57.06,13.78,5.29,39.73,14.88,,170.64,1.53,7:53:18 AM,Olivia,Sunday,24.68,7
7/3/2022,44,,,15,11,7,,7,4,,,,,,,,54.06,43.15,23.57,,14.59,8.27,,147.01,1.08,7:53:38 AM,Frank M,Sunday,23.34,7
7/24/2022,42,2,,14,11,6,,9,,,,,,,7.48,,39.08,43.39,18.7,,21.26,,,130.73,0.82,7:52:15,Olivia,Sunday,20.65,7
7/17/2022,34,,,9,8,4,1,10,2,,,,,,,,34.06,28.61,21.82,5.79,41.93,12.18,20,125.46,1.07,7:56:31,Ranjit,Sunday,27.97,7
7/31/2022,32,1,,8,4,5,2,9,3,,,,,,4.99,,52.27,25.42,13.47,15.78,44.14,12.17,1,168.93,1.69,8:28:54,Ranjit,Sunday,17.49,7
8/14/2022,34,1,,11,9,4,,9,,,,,,,2.49,,36.67,26.99,28.44,,24.36,,4.49,114.87,0.41,7:49:45,Ranjit,Sunday,22.94,7
8/7/2022,40,2,,21,6,3,,8,,,,,,,7.98,,25.42,56.47,16.34,,15.48,,2,119.39,0.19,7:56,Jessica,Sunday,21.61,7
9/4/2022,30,1,,14,2,6,,7,,,,,,,1.99,,49.23,52.96,8.37,,18.58,,,130.9,0.77,8:02:31,Jessica,Sunday,17.9,7
8/21/2022,38,,,18,7,6,,7,,,,,,,,,40.06,56.29,15.8,,17.28,,1.5,128.02,0,7:46:00,Theresa,Sunday,20.79,7
8/28/2022,32,,,9,6,6,,11,,,,,,,,,42.96,45.8,16.11,,43.87,,4.5,144.15,0,8:05:44,Annette,Sunday,18.98,7
